 2 2 3 3 2 3 0 0 23 2 2 2 4 2 2 75 1 1 1 75.37 6.82 87.31 -0.2056672425865524 133 1261
 4 4 4 4 3 4 0 0 6 2 2 7 2 3 2 94 1 1 1 77.56 5.64 86.99 1.5411790583507272 145 2338
 1 1 1 2 1 1 0 0 42 2 3 8 2 4 2 98 1 1 1 68.62 5.72 78.72 -0.5160008312446829 72 835
 4 4 4 4 4 4 0 0 11 2 2 7 2 5 2 95 1 1 1 77.74 5.64 87.73 1.4767702003273415 150 1921
 3 3 3 3 1 2 0 0 23 2 2 2 4 2 2 2 1 1 1 77.59 5.74 88.79 1.3752774543510955 144 419
 2 2 2 2 1 2 0 0 6 2 2 7 2 4 3 97 1 1 1 77.6 5.9 87.38 1.26012222333959 151 1503
 3 3 4 3 2 4 0 0 35 2 3 9 2 4 3 100 1 1 1 68.33 5.71 77.29 -0.3540027943979858 70 2577
 1 1 2 2 1 2 0 0 42 2 3 8 2 5 3 99 1 1 1 68.3 5.78 78.06 -0.560891853503407 66 2162
 2 3 3 3 2 3 0 0 11 2 2 7 2 4 2 94 1 1 1 77.57 5.56 87.88 1.297206111292448 148 1250
 3 3 4 3 3 4 0 0 101 2 5 10 2 3 3 110 1 0 1 71.97 5.53 81.69 0.282278651530006 100 2475
 2 2 3 3 2 3 0 0 101 2 5 10 3 4 2 103 1 0 1 71.78 5.53 81.66 0.4481802555296361 100 1059
 3 3 3 3 2 3 0 0 102 2 2 11 3 4 2 142 1 0 1 77.64 5.66 87.77 1.5138540882801998 150 651
 4 4 4 4 4 4 0 0 102 2 2 11 2 3 3 153 1 0 1 71.96 7.28 88.15 -0.1139334144926396 102 2418
 2 2 2 2 2 2 0 0 103 2 3 12 2 3 4 27 1 0 1 62.87 5.65 76.64 -1.273292858913582 9 571
 3 3 3 3 3 4 0 0 103 2 3 12 2 4 2 23 1 0 1 68.44 5.56 78.72 -0.0768495265397803 67 677
 1 1 1 1 -999 1 1 1 104 2 4 13 2 5 2 61 2 0 1 62.09 5.17 71.48 -1.318183881172306 0 949
 2 1 1 2 -999 1 0 1 104 2 4 13 3 5 2 62 2 0 1 61.85 4.97 70.38 -1.2889071275253114 0 1046
