 4.2 3.5 -0.5 -999 28.21 23 2 2 2 4 2 2 75 1 1 1 75.37 6.82 87.31 -0.2056672425865524 133 1261
 5.1 4.2 0.12 -999 72.98 6 2 2 7 2 3 2 94 1 1 1 77.56 5.64 86.99 1.5411790583507272 145 2338
 3.8 3.1 -0.85 -999 83.38 42 2 3 8 2 4 2 98 1 1 1 68.62 5.72 78.72 -0.5160008312446829 72 835
 6.2 4.8 0.45 -999 60.84 11 2 2 7 2 5 2 95 1 1 1 77.74 5.64 87.73 1.4767702003273415 150 1921
 4.5 3.8 -0.1 -999 57.79 23 2 2 2 4 2 2 2 1 1 1 77.59 5.74 88.79 1.3752774543510955 144 419
 4.0 3.2 -0.32 -999 70.2 6 2 2 7 2 4 3 97 1 1 1 77.6 5.9 87.38 1.26012222333959 151 1503
 4.8 4.0 0.05 -999 72.35 35 2 3 9 2 4 3 100 1 1 1 68.33 5.71 77.29 -0.3540027943979858 70 2577
 3.9 3.3 0.22 -999 48.23 42 2 3 8 2 5 3 99 1 1 1 68.3 5.78 78.06 -0.560891853503407 66 2162
 4.4 3.7 -0.41 -999 69.31 11 2 2 7 2 4 2 94 1 1 1 77.57 5.56 87.88 1.297206111292448 148 1250
 5.1 3.8 -0.12 -999 68.11 101 2 5 10 2 3 3 110 1 0 1 71.97 5.53 81.69 0.282278651530006 100 2475
 4.2 3.5 -0.05 -999 28.91 101 2 5 10 3 4 2 103 1 0 1 71.78 5.53 81.66 0.4481802555296361 100 1059
 4.5 3.6 -0.1 -999 32.83 102 2 2 11 3 4 2 142 1 0 1 77.64 5.66 87.77 1.5138540882801998 150 651
 5.8 4.2 0.05 -999 22.88 102 2 2 11 2 3 3 153 1 0 1 71.96 7.28 88.15 -0.1139334144926396 102 2418
 3.9 3.2 -0.2 -999 36.22 103 2 3 12 2 3 4 27 1 0 1 62.87 5.65 76.64 -1.273292858913582 9 571
 4.7 3.7 0.15 -999 49.97 103 2 3 12 2 4 2 23 1 0 1 68.44 5.56 78.72 -0.0768495265397803 67 677
 3.5 3.0 0.02 1018 29.45 104 2 4 13 2 5 2 61 2 0 1 62.09 5.17 71.48 -1.318183881172306 0 949
 3.8 3.1 -0.08 1063 46.85 104 2 4 13 3 5 2 62 2 0 1 61.85 4.97 70.38 -1.2889071275253114 0 1046
 3.4 2.9 0.1 942 72.16 105 2 4 3 2 5 3 64 2 0 1 61.93 5.02 70.29 -1.6734084920891592 0 5
 4.0 3.3 -0.15 1052 84.79 105 2 4 3 3 4 2 63 2 0 1 61.97 5.09 71.2 -1.3025696125605752 0 2412
 3.6 3.2 0.05 848 84.17 106 2 4 4 2 3 3 65 2 0 1 62.03 5.17 72.63 -1.435290895760279 1 613
 4.2 3.5 -0.11 1017 80.9 106 2 4 4 3 4 3 66 2 0 1 64.35 6.78 79.63 -1.3006178289841093 26 1395
